,ID,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count
435,273670495,35,8,18,5.0,1,17
436,267627913,39,3,20,6.0,1,20
437,266838052,66,5,20,5.0,1,11
438,273571446,39,3,20,5.0,1,16
439,274092140,44,7,19,6.0,1,30
440,274082061,55,3,22,2.0,1,21
441,275005419,45,18,19,6.0,1,19
442,273909459,54,9,26,7.0,1,25
443,254126155,42,17,20,4.0,1,29
444,255696192,42,17,20,4.0,1,29
445,273640342,38,21,19,4.0,1,23
446,274984130,40,16,21,5.0,1,20
447,274930457,40,16,21,4.0,1,19
448,273633851,38,21,19,4.0,1,25
449,271702039,40,16,22,4.0,1,20
450,274299550,35,8,18,5.0,1,28
451,273002184,44,4,19,3.0,1,22
452,267966065,42,17,20,4.0,1,34
453,274541988,44,4,19,3.0,1,50
454,273636937,38,19,21,7.0,1,33
455,251764517,51,2,19,6.0,1,35
456,274197815,67,62,27,6.0,5,2
457,274824579,57,32,27,6.0,5,6
458,272378791,68,15,24,6.0,3,15
459,274555195,69,5,19,5.0,1,21
460,274320654,59,10,20,9.0,1,13
461,192844642,70,8,19,7.0,1,16
462,273237958,62,4,24,2.0,3,9
463,274890783,47,5,20,7.0,1,7
464,274750758,71,45,24,9.0,3,18
465,259102612,62,4,24,3.0,3,21
466,274058162,72,12,20,10.0,1,6
467,274756026,58,7,20,8.0,1,15
468,274489357,58,2,20,7.0,1,9
469,227618948,48,58,20,6.0,1,34
470,214374153,62,8,24,5.0,3,16
471,274645866,71,61,24,5.0,3,10
472,274343831,46,3,20,7.0,1,17
473,269173511,58,7,20,7.0,1,23
474,272174748,52,8,20,4.0,1,9
475,273521592,57,24,27,8.0,5,20
476,274921148,52,10,20,5.0,1,7
477,273713274,59,10,20,9.0,1,16
478,274489531,48,74,24,5.0,3,20
479,263567881,46,3,20,7.0,1,9
480,274703859,70,14,19,7.0,1,35
481,273199110,44,3,19,2.0,1,15
482,243207995,36,22,19,4.0,1,1
483,273120524,62,12,24,4.0,3,12
484,271933107,57,30,27,7.0,5,24
485,265623901,65,3,17,7.0,1,12
486,258256906,69,10,20,9.0,1,10
487,274290580,43,10,21,8.0,1,13
488,259225272,48,3,19,4.0,1,15
489,224543985,44,12,19,8.0,1,8
490,273449383,42,3,20,2.0,1,18
491,274223044,46,1,20,5.0,1,7
492,272628674,60,3,21,7.0,1,11
493,271360992,73,21,28,25.0,6,14
494,274496844,74,9,28,25.0,6,27
495,259536063,73,12,28,16.0,6,25
496,274828382,74,6,28,20.0,6,12
