ID,"Высота потолков, м",total_area,price,price_per_sqm,utility_payments,rooms_count,has_layout,layout_is_adjacent,layout_is_isolated,layout_is_studio,layout_is_unknown,parking_type,parking_is_unknown,renovation_grades,is_renovated,renovation_is_unknown,floor,storeys,first_floor,last_floor,residential_name,unknown_allowed,childrens,pets,is_home_series,elevator,balcony,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count,rooms_layout_студия,rooms_layout_unknown,rooms_layout_изолированная,rooms_layout_смежная,rooms_layout_оба варианта,renovation_Без ремонта,renovation_Косметический,renovation_Евроремонт,renovation_unknown,renovation_Дизайнерский,trash_Да,trash_Нет,trash_unknown,home_type_старый фонд,home_type_сталинский,home_type_монолитно-кирпичный,home_type_блочный,home_type_unknown,home_type_монолитный,home_type_кирпичный,home_type_панельный
274064272,,87.0,140000.0,1609.1954022988505,1,3,1,0,1,0,0,0,1,2,1,0,4,7,0,0,0,1,0,0,0,1,0,21,3,2,5.0,1,16,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
273078340,3.0,90.0,145000.0,1611.111111111111,1,3,0,0,0,0,1,0,1,3,1,0,7,12,0,0,0,0,1,1,0,2,1,22,5,1,6.0,1,16,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
274359655,,180.0,350000.0,1944.4444444444443,0,4,1,0,1,0,0,1,0,2,1,0,3,4,0,0,0,1,0,0,1,1,0,5,32,1,7.0,1,28,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
272226556,,180.0,400000.0,2222.222222222222,0,4,0,0,0,0,1,0,1,3,1,0,2,3,0,0,0,0,1,0,0,0,1,5,32,2,10.0,1,38,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
273114736,,170.0,650000.0,3823.529411764706,0,4,0,0,0,0,1,0,1,3,1,0,4,7,0,0,1,0,1,1,0,0,2,3,21,1,5.0,1,37,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
274319903,,75.0,99000.0,1320.0,1,3,1,0,1,0,0,0,0,1,1,0,9,10,0,0,0,0,1,1,0,2,0,23,8,1,3.0,1,14,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
273427928,,87.0,100000.0,1149.4252873563219,1,3,0,0,0,0,1,0,1,3,1,0,3,7,0,0,0,0,1,0,0,1,0,9,26,1,11.0,1,14,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
274296188,3.0,105.0,180000.0,1714.2857142857142,1,3,0,0,0,0,1,0,0,1,1,0,9,9,0,1,0,0,1,0,0,1,1,17,35,2,8.0,1,20,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
272887177,3.2,99.0,200000.0,2020.20202020202,1,3,1,1,1,0,0,1,0,,0,1,3,9,0,0,1,0,1,0,1,2,1,14,29,2,5.0,1,19,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
269319175,3.5,60.0,250000.0,4166.666666666667,1,1,0,0,0,0,1,1,0,,0,1,2,11,0,0,1,0,1,0,1,2,0,1,32,1,7.0,1,12,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
269687656,,140.0,280000.0,2000.0,0,4,0,0,0,0,1,0,1,2,1,0,4,6,0,0,0,1,0,0,0,1,0,12,44,1,6.0,1,23,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
274501292,,120.0,300000.0,2500.0,0,3,0,0,0,0,1,0,1,3,1,0,3,5,0,0,0,0,1,1,0,1,0,5,9,2,10.0,1,19,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
261980888,2.8,133.0,400000.0,3007.5187969924814,1,3,1,1,1,0,0,1,0,,0,1,5,13,0,0,1,0,1,0,1,4,0,1,32,1,6.0,1,20,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
